Unnamed: 0,URLS,Race,Gender,Disability,SOGI,Military,Age,Family,Religion,Company_Name
66,https://www.aig.com/about-us/diversity-equity-and-inclusion,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,American International Group
67,https://corporate.bestbuy.com/diversity-and-inclusion/,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Best Buy
68,https://corporate.charter.com/diversity-inclusion,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Charter Communications
69,https://www.sysco.com/About/Our-People/Diversity-and-Inclusion.html,8.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,Sysco
70,https://www.merck.com/company-overview/diversity-and-inclusion/,7.0,3.0,5.0,2.0,0.0,1.0,0.0,1.0,Merck
71,https://www.newyorklife.com/careers/our-culture/diversity-and-inclusion,30.0,0.0,3.0,3.0,3.0,9.0,4.0,0.0,New York Life Insurance
72,https://www.caterpillar.com/en/careers/why-caterpillar/diversity-inclusion.html,30.0,0.0,3.0,3.0,3.0,9.0,4.0,0.0,Caterpillar
73,https://www.cisco.com/c/en/us/about/inclusion-diversity.html,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Cisco Systems
74,https://www.tjx.com/responsibility/workplace/inclusion-and-diversity,30.0,8.0,1.0,3.0,0.0,4.0,2.0,0.0,TJX
75,https://corporate.publix.com/about-publix/culture/committed-to-diversity,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Publix Super Markets
76,https://www.conocophillips.com/about-us/people/diversity-inclusion/,7.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,ConocoPhillips
77,https://www.libertymutualgroup.com/about-lm/corporate-information/diversity-equity-inclusion/our-commitment,3.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,Liberty Mutual Insurance Group
78,https://www.progressive.com/about/diversity-and-inclusion/,20.0,13.0,1.0,1.0,1.0,6.0,5.0,0.0,Progressive
79,https://www.nationwide.com/personal/about-us/diversity-equity-inclusion/,5.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,Nationwide
80,https://www.tysonfoods.com/who-we-are/our-people/inclusion-diversity,15.0,1.0,7.0,1.0,7.0,0.0,0.0,3.0,Tyson Foods
81,https://www.bms.com/about-us/global-diversity-and-inclusion.html,16.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,Bristol-Myers Squibb
82,https://www.deere.com/en/our-company/john-deere-careers/benefits/diversity/,5.0,2.0,1.0,1.0,3.0,1.0,8.0,0.0,Nike
