,Company Names
389,['Foot Locker']
390,['Dana']
391,['SpartanNash']
392,['Olin']
393,['Chewy']
394,['Jackson Financial']
395,['Activision Blizzard']
396,['Toll Brothers']
397,['Carlyle Group']
398,['Graybar Electric']
399,['Ovintiv']
400,['UFP Industries']
401,['Ulta Beauty']
402,['Constellation Brands']
403,['Expedia Group']
404,['CommScope Holding']
405,['Celanese']
406,['Global Payments']
407,['Owens Corning']
408,['Campbell Soup']
409,['Huntsman']
410,['Franklin Resources']
411,['Avery Dennison']
412,['Masco']
413,['CenterPoint Energy']
414,['Fifth Third Bancorp']
415,['WEC Energy Group']
416,['S&P Global']
417,['FM Global']
418,['Polaris']
419,['Williams-Sonoma']
420,['Autoliv']
421,['Arthur J. Gallagher']
422,['Motorola Solutions']
423,['Zillow Group']
424,['Opendoor Technologies']
425,['J.M. Smucker']
426,['Anywhere Real Estate']
427,['Oshkosh']
428,['MasTec']
429,['GXO Logistics']
430,['APA']
431,['Boise Cascade']
432,['Dover']
433,['Genworth Financial']
434,['Bath & Body Works']
435,['Booz Allen Hamilton Holding']
436,['Coinbase Global']
437,['Zimmer Biomet Holdings']
438,['Westinghouse Air Brake Technologies']
439,['Zoetis']
440,['Packaging Corp. of America']
441,['LPL Financial Holdings']
442,['T. Rowe Price']
443,['Fortune Brands Home & Security']
444,"[""Casey's General Stores""]"
445,['A-Mark Precious Metals']
446,['Hess']
447,['Vertex Pharmaceuticals']
448,['KeyCorp']
449,['Chipotle Mexican Grill']
450,['CMS Energy']
451,['Arconic']
452,['Taylor Morrison Home']
453,['American Financial Group']
454,['UGI']
455,['Science Applications International']
456,['Avantor']
457,['Hanesbrands']
458,['Clorox']
459,['KBR']
460,['TravelCenters of America']
461,['Hertz Global Holdings']
462,['Analog Devices']
463,['Securian Financial Group']
464,['Darden Restaurants']
465,['Graphic Packaging Holding']
466,['NCR']
467,['Brighthouse Financial']
468,['PPL']
469,['Cintas']
470,['Xerox Holdings']
471,['Rockwell Automation']
472,['Citizens Financial Group']
473,['KLA']
474,['Camping World Holdings']
475,['Ingredion']
476,['Veritiv']
477,['Beacon Roofing Supply']
478,['Diamondback Energy']
479,"[""Victoria's Secret""]"
480,['Academy Sports and Outdoors']
481,['Sanmina']
482,['ON Semiconductor']
483,['Commercial Metals']
484,['EnLink Midstream']
485,['Southwestern Energy']
486,['Equinix']
487,"[""Dillard's""]"
488,['Regions Financial']
489,['Yum Brands']
490,['Landstar System']
491,['CF Industries Holdings']
492,['Northern Trust']
493,['Robert Half International']
494,['Compass']
495,['Hasbro']
496,['Roper Technologies']
497,['ARKO']
498,['Frontier Communications']
499,['Ameren']
500,['O-I Glass']
501,['Chemours']
502,['Crown Castle International']
503,['Agilent Technologies']
504,['McCormick']
505,['Skechers U.S.A.']
506,['Watsco']
507,['Live Nation Entertainment']
508,['Lululemon athletica']
509,['ABM Industries']
510,['Post Holdings']
511,"[""Moody's""]"
512,['Select Medical Holdings']
513,['Alaska Air Group']
514,['Big Lots']
515,['Amkor Technology']
516,['Sinclair Broadcast Group']
517,['RPM International']
518,['M&T Bank']
519,['Sprouts Farmers Market']
520,['Huntington Bancshares']
521,['CACI International']
522,['JetBlue Airways']
523,['SVB Financial Group']
524,['Fastenal']
525,['GameStop']
526,['Knight-Swift Transportation Holdings']
527,['Airbnb']
528,['Patterson']
529,['PENN Entertainment']
530,['ServiceNow']
531,['Nasdaq']
532,['Brunswick']
533,['Resideo Technologies']
534,['Chesapeake Energy']
535,['Petco Health and Wellness']
536,['Kemper']
537,['Hilton Worldwide Holdings']
538,['Cerner']
