,URLS
141,https://www.gopenske.com/our-company/diversity-and-inclusion
142,https://about.pypl.com/how-we-work/diversity-and-inclusion/
143,https://www.macysinc.com/purpose/diversity-equity-and-inclusion/default.aspx
144,https://www.duke-energy.com/our-company/about-us/diversity
145,http://www.united.com/ual/en/us/fly/company/global-citizenship/diversity.html
146,https://usa.visa.com/about-visa/diversity-inclusion.html
147,https://www.riteaid.com/about-us/diversity-equity-inclusion
148,https://www.cummins.com/company/esg/social/diversity
149,https://www.usbank.com/about-us-bank/diversity.html
150,https://jobs.paccar.com/content/Diversity-and-Inclusion/?locale=en_US
151,https://corporate.mcdonalds.com/corpmcd/our-purpose-and-impact/jobs-inclusion-and-empowerment/diversity-and-inclusion.html
152,https://www.southerncompany.com/our-community/diversity.html
153,https://www.chrobinson.com/en-us/about-us/corporate-responsibility/diversity-inclusion/
154,https://www.truist.com/who-we-are/diversity-equity-inclusion
155,https://www.appliedmaterials.com/us/en/careers/inclusion.html
156,https://www.fcx.com/sustainability/people/inclusion_diversity
157,https://responsibility.lithiadriveway.com/social/goal-8-diversity-inclusion
158,https://www.blackstone.com/our-impact/diversity-equity-inclusion/
159,https://www.thehartford.com/about-us/corporate-diversity
160,https://www.aflac.com/brokers/resources/articles/diversity-equity-and-inclusion-are-the-aflac-way.aspx
161,https://www.whirlpoolcorp.com/inclusion-diversity/
162,https://www.up.com/aboutup/corporate_info/diversity/index.htm
163,https://www.internationalpaper.com/taxonomy/term/646
164,https://www.altria.com/people-and-careers/our-people-and-communities/inclusion-diversity-and-equity
165,https://www.cdw.com/content/cdw/en/about/overview/diversity-and-inclusion.html
166,https://www.manpowergroup.com/en/sustainability/people-and-prosperity/diversity-equity-inclusion-belonging
167,https://www.pge.com/en_US/about-pge/company-information/diversity-and-inclusion/diversity-and-inclusion.page
168,https://www.corporate.carrier.com/corporate-responsibility/social-impact/our-employees/
169,https://www.bakerhughes.com/dei
170,https://careers.clevelandcliffs.com/diversity-and-inclusion/
171,https://www.ussteel.com/careers/diversity-equity-inclusion
172,https://investors.bd.com/esg/inclusion-diversity-inclusion
173,https://careers.carmax.com/us/en/diversity-inclusion
174,https://corporate.sherwin-williams.com/sustainability/focus-areas/social-imprint/inclusion.html
175,https://www.bldr.com/who-we-are/culture-community
176,https://www.marshmclennan.com/about/culture/inclusion-diversity-belonging.html
177,https://www.pnc.com/en/about-pnc/corporate-responsibility/diversity-and-inclusion.html
178,https://jobs.lumen.com/global/en/diversity-inclusion-belonging
179,https://www.avnet.com/wps/portal/us/about-avnet/corporate-social-responsibility/diversity-equity-inclusion/
180,https://www.tenethealth.com/careers/life-at-tenet
181,https://www.kimberly-clark.com/en-us/responsibility/diversity-and-inclusion
182,https://www.kohls.com/feature/diversityandinclusion.jsp
183,https://www.blackrock.com/corporate/about-us/diversity-equity-and-inclusion
184,https://www.us.jll.com/en/careers/diversity-inclusion
185,https://www.lear.com/careers/diversity-equity-inclusion
186,https://www.lincolnfinancial.com/public/aboutus/companyoverview/ourstrategy/diversityinclusion
187,https://www.aboutschwab.com/diversity-and-inclusion
188,https://corp.rossstores.com/responsibility/empowering-our-associates/our-commitment-to-diversity/
189,https://www.mastercard.us/en-us/vision/who-we-are/diversity-inclusion.html
190,https://filecache.investorroom.com/mr5ir_genuineparts/290/download/GPC_2020_CSR_FINAL.pdf
191,https://www.westrock.com/company/diversity
192,https://www.eogresources.com/culture/
193,https://www.cognizant.com/us/en/about-cognizant/diversity-and-inclusion
194,https://www.modernatx.com/media-center/all-media/blogs/diseases-dont-discriminate-neither-should-clinical-research
195,https://stld.steeldynamics.com/talent-development/
196,https://www.hfsinclair.com/about-us/mission-and-values/default.aspx
197,https://careers.ti.com/inclusion/
198,https://www.emerson.com/en-us/careers/diversity-and-inclusion
199,https://www.wesco.com/us/en/our-company/careers/inclusion-and-diversity.html
200,https://www.generalmills.com/how-we-make-it/putting-people-first/global-inclusion-diversity
201,https://jobs.tenneco.com/content/Inclusion-Diversity-and-Equity/?locale=en_US
202,https://www.wm.com/us/en/inside-wm/who-we-are/diversity
203,https://www.viatris.com/en/careers/diversity-and-inclusion
204,https://careers.dish.com/about/diversity-inclusion
205,https://www.l3harris.com/company/l3harris-2022-diversity-equity-and-inclusion-annual-report
206,https://dxc.com/us/en/about-us/inclusion-and-diversity
207,https://block.xyz/inclusion
208,https://corporate.goodyear.com/us/en/responsibility/inspiring-culture/diversity-inclusion.html
209,https://www.uber.com/us/en/about/diversity/
210,https://www.colgatepalmolive.com/en-us/dei-home
211,https://www.stanleyblackanddecker.com/impact/people/diversity-equity-inclusion
212,https://www.dupont.com/careers/diversity-and-inclusion.html
213,https://www.stryker.com/content/m/c/2020-comprehensive-annual-report/social-impact/diversity-equity-and-inclusion.html
214,https://www.nexteraenergy.com/sustainability/employees/diversity.html
215,https://www.targaresources.com/sustainability/social
216,https://www.westerndigital.com/company/corporate-responsibility/people/diversity-equity-inclusion
217,https://sustainability.ppg.com/Social/Diversity-Equity-and-Inclusion
218,https://www.aep.com/careers/diversity
219,https://www.gapinc.com/en-us/values/equality-belonging
220,https://www.glassdoor.com/Culture/BJ-s-Wholesale-Club-DEI-E6813.htm
221,https://www.rgare.com/about-rga/our-responsibility/our-culture
222,https://www.kindermorgan.com/Safety-Environment/ESG/Social
223,https://www.oneok.com/about-us/diversity-and-inclusion
224,https://www.comparably.com/companies/expeditors/diversity
225,https://www.amd.com/en/corporate-responsibility/diversity-belonging-inclusion
226,https://www.fiserv.com/en/about-fiserv/diversity-inclusion.html
227,https://www.elcompanies.com/en/our-commitments/inclusion-diversity-equity
228,https://www.bnymellon.com/us/en/about-us/diversity-inclusion.html
229,https://careers.labcorp.com/global/en/diversity
230,https://www.regeneron.com/responsibility/diversity-inclusion
231,https://careers.landolakesinc.com/us/en/inclusion
232,https://www.cheniere.com/csr/team/diversity
233,https://www.southwest.com/citizenship/people/diversity-equity-inclusion/
234,https://www.adobe.com/diversity.html
235,https://www.synchrony.com/diversity.html
236,https://www.corteva.com/who-we-are/inclusion-diversity-equity.html
237,https://www.fidelity.com/about-fidelity/our-company/diversityandinclusion
238,https://careers.dteenergy.com/content/Diversity-and-Inclusion/?locale=en_US
239,https://www.murphyoilcorp.com/diversity-inclusion/
240,https://jobs.halliburton.com/content/Diversity/?locale=en_US
241,https://www.adp.com/resources/diversity-equity-and-inclusion.aspx
242,https://www.edison.com/sustainability/diversity-equity-inclusion
243,https://www.borgwarner.com/careers/who-we-are/diversity-inclusion
244,https://www.nordstrom.com/browse/diversity-at-nordstrom
245,https://talent.lowes.com/us/en/diversity-inclusion
246,https://www.guardianlife.com/about-guardian/inclusion-and-diversity
247,https://www.pxd.com/culture/diversity-inclusion
248,https://autozone.referrals.selectminds.com/info/page3
249,https://newsroom.lamresearch.com/Moving-the-Needle-on-Inclusion-and-Diversity-at-Lam-Research
250,https://www.amfam.com/providing-support/diversity-and-inclusion
251,https://www.itw.com/sustainability/our-people/diversity-inclusion/
252,https://www.parker.com/portal/site/PARKER/menuitem.10cd5ec7157b826a66b049e1237ad1ca/?vgnextoid=46392a270ee5d310VgnVCM100000200c1dacRCRD&vgnextfmt=TR&careerreadmore=19dc01807ac3d310VgnVCM100000200c1dacRCRD&readmore=true&vgnextcat=Diversity+and+Inclusion&relatorId=6fdc01807ac3d310VgnVCM100000200c1dac____
253,https://www.otis.com/en/us/our-company/diversity-and-inclusion
254,https://www.omnicomgroup.com/culture/diversity/
255,https://www.principal.com/sustainability/global-inclusion
256,https://www.dominionenergy.com/our-company/employee-experience/diversity-and-inclusion
257,https://www.kellogg.northwestern.edu/the-experience/diversity-equity-inclusion.aspx
258,https://www.fluor.com/sustainability/dei
259,https://aecom.com/about-us/equity-diversity-inclusion/
260,https://www.rsac.com/our-culture/
261,https://www.jacobs.com/about/inclusion-and-diversity
262,https://www.corning.com/worldwide/en/sustainability/people/diversity.html
263,https://www.farmers.com/diversity-equity-inclusion-belonging/
264,https://www.qurateretailgroup.com/lp/diversity-equity-inclusion/
265,https://www.pacificlife.com/home/corporate-social-responsibility/diversity-equity-inclusion.html
266,https://pultegroupcares.com/diversity-inclusion/
267,https://careers.fisglobal.com/us/en/inclusion-diversity
268,https://www.iqvia.com/about-us/esg/diversity
269,https://www.marriott.com/diversity/diversity-and-inclusion.mi
270,https://www.berryglobal.com/en/sustainability/sustainability-strategy/global-diversity
271,https://www.ball.com/careers/diversity-inclusion
272,https://www.group1auto.com/womens-initiative.html
273,https://www.leidos.com/company/inclusion-and-diversity
274,https://www.aboutwayfair.com/dei
275,https://www.coned.com/en/about-us/diversity
276,https://www.ameriprise.com/about/diversity-equity-inclusion
277,https://my.xcelenergy.com/s/about/company-diversity
278,https://www.comparably.com/companies/o-reilly-auto-parts/diversity
279,https://careers.globalp.com/us/en/diversityandinclusion
280,https://investorrelations.discover.com/newsroom/press-releases/press-release-details/2022/Discover-Releases-Its-First-Diversity-Equity--Inclusion-Report/default.aspx
281,https://www.rocketcompanies.com/our-team/diversity-equity-and-inclusion/
282,https://www.comparably.com/companies/lkq-corporation/diversity
283,https://graingeresg.com/people-and-purpose/diversity-equity-inclusion/
284,https://www.quantaservices.com/diversity-inclusion/
285,https://www.crowncork.com/sustainability/social/diversity-inclusion
286,https://foxcareers.com/LifeAtFox/DiversityandInclusion
287,https://www.sempra.com/performance/high-performing-culture/diversity-and-inclusion
288,https://www.markel.com/insurance/careers-at-markel/diversity-and-inclusion
289,https://www.carvana.com/careers/culture
290,https://www.xpo.com/about-us/dei/
291,https://www.baxter.com/careers/diversity-equity-inclusion
292,https://www.ecolab.com/corporate-responsibility/social/diversity-equity-and-inclusion
293,https://ir.tractorsupply.com/newsroom/news-releases/news-releases-details/2023/Tractor-Supply-Recognized-for-Diversity-and-Inclusion-in-the-Workplace/default.aspx
294,https://www2.andersonuniversity.edu/campus-life/diversity-community-inclusion/
295,https://careers.keurigdrpepper.com/our-culture
296,https://uhs.com/about-uhs/environmental-social-and-governance/our-commitment-to-social-causes/
297,https://www.csx.com/index.cfm/working-at-csx/learn-more-about-csx/diversity-equity-and-inclusion/
298,https://www.henryschein.com/us-en/corporate/diversity.aspx
299,https://ir.sonicautomotive.com/corporate-responsibility/social
300,https://www.ebayinc.com/company/diversity-equity-inclusion/
301,https://www.textron.com/assets/CR/2020/DiversityInclusionBelonging.html
302,https://www.edwardjones.com/us-en/why-edward-jones/about-us/corporate-citizenship/inclusion-diversity-equity-commitments
303,https://www.chs.net/serving-communities/diversity-equity-inclusion/
304,https://www.mosaicco.com/Diversity-and-Inclusion
305,https://www.thorindustries.com/diversityandinclusion
306,https://inclusion.dickssportinggoods.com/
307,https://www.newmont.com/blog-stories/blog-stories-details/2021/Showing-Our-Commitment-to-Equity-and-Inclusion-Through-Action/default.aspx
308,https://www.devonenergy.com/sustainability/workforce/diversity-equity-inclusion
309,https://wbd.com/warner-bros-discovery-announces-diversity-equity-and-inclusion-leadership-team/
310,https://careers.jbhunt.com/culture-and-programs/inclusion
311,https://www.alcoa.com/careers/en/inclusion-diversity
312,https://elgljobs.com/categories/diversity-equity-inclusion/
313,https://careers.aramark.com/diversity-equity-inclusion/
314,https://vistracorp.com/diversity-equity-and-inclusion/
315,https://www.statestreet.com/us/en/asset-manager/about/our-people/global-inclusion-diversity-equity
316,https://www.acpt.unumgroup.com/inclusion-diversity
317,https://sites.allegheny.edu/deanfordiversity/
318,https://www.bostonscientific.com/en-US/careers/working-here/diversity-and-inclusion.html
319,http://www.westlake.com/people-community
320,https://www.entergy.com/about/diversity-inclusion/
321,https://www.iff.com/responsibilities/diversity-equity-inclusion
322,https://careers.davita.com/diversity-belonging
323,https://www.mutualofomaha.com/about/diversity-equity-inclusion
324,https://www.assurant.com/our-story/diversity
325,https://www.libertymedia.com/esg/talent-culture
326,https://www.hormelfoods.com/about/diversity-and-inclusion/
327,https://www.ielp.com/
328,https://www.republicservices.com/sustainability/people
329,https://www.comparably.com/companies/mohawk-industries/diversity
330,https://www.conagrabrands.com/diversity-inclusion
331,http://www.nscorp.com/content/nscorp/en/inclusion-and-diversity.html
332,https://www.aes.org/community/diversity/
333,https://careers.agcocorp.com/content/Diversity-and-Inclusion/?locale=en_US
334,https://www.caesars.com/corporate-social-responsibility/social-programs/investment-in-team-members/diversity-equity-and-inclusion
335,https://equitable.com/about-us/diversity-and-inclusion
336,https://www.advanceautoparts.jobs/page/inclusion
337,https://www.biogen.com/responsibility/diversity-inclusion.html
338,https://www.auto-owners.com/diversity-inclusion
339,https://www.bookingholdings.com/cr-cards/diversity-inclusion-and-belonging-2021/
340,https://amphenol.com/docs/DEI-policy
341,https://www.questdiagnostics.com/our-company/inclusion-diversity
342,https://www.firstenergycorp.com/careers/diversity_inclusion.html
343,https://www.dcpmidstream.com/dcpmidstream/media/DCP/DCP-Sustainability-ReportQ120.pdf
344,https://www.ally.com/about/social-impact/diversity-inclusion/
345,https://www.delekus.com/wp-content/uploads/2020/09/2020-09-24-DEI-Policy-FINAL-website.pdf
346,https://diversity.williams.edu/
